1,['Вася', 'Рибентроп', '+48 234 542 656', '30.04.1987']
2,['Ваня', 'Рибентроп', '+48 237 543 345', '19.03.1958']
3,['Петя', 'Сидоров', '+48 323 543 593', '30.08.1970']
4,['Ваня', 'Сидоров', '+48 234 542 656', '30.04.1987']
5,['Вася', 'Рибентроп', '+48 283 484 382', '30.08.1970']
6,['Саша', 'Рибентроп', '+48 234 542 656', '30.04.1987']
7,['Вася', 'Сидоров', '+48 237 543 345', '23.12.1996']
8,['Саша', 'Иванов', '+48 237 543 345', '30.04.1987']
9,['Ваня', 'Петров', '+48 283 484 382', '23.12.1996']
10,['Вася', 'Петров', '+48 323 543 593', '30.08.1970']
11,['Вася', 'Петров', '+48 283 484 382', '30.08.1970']
12,['Вася', 'Петров', '+48 283 484 382', '23.12.1996']
13,['Ваня', 'Рибентроп', '+48 237 543 345', '19.03.1958']
14,['Петя', 'Сидоров', '+48 283 484 382', '30.08.1970']
15,['Вася', 'Сидоров', '+48 323 543 593', '30.08.1970']
16,['Петя', 'Петров', '+48 237 543 345', '23.12.1996']
17,['Вася', 'Иванов', '+48 237 543 345', '23.12.1996']
18,['Вася', 'Сидоров', '+48 237 543 345', '19.03.1958']
19,['Вася', 'Иванов', '+48 234 542 656', '23.12.1996']
20,['Петя', 'Сидоров', '+48 234 542 656', '19.03.1958']
21,['Вася', 'Сидоров', '+48 234 542 656', '30.08.1970']
22,['Ваня', 'Иванов', '+48 237 543 345', '23.12.1996']
23,['Вася', 'Сидоров', '+48 323 543 593', '30.08.1970']
24,['Петя', 'Иванов', '+48 237 543 345', '23.12.1996']
25,['Ваня', 'Рибентроп', '+48 237 543 345', '30.08.1970']
26,['Петя', 'Иванов', '+48 237 543 345', '30.08.1970']
27,['Ваня', 'Рибентроп', '+48 323 543 593', '30.08.1970']
28,['Петя', 'Иванов', '+48 234 542 656', '23.12.1996']
29,['Петя', 'Сидоров', '+48 283 484 382', '19.03.1958']
30,['Вася', 'Сидоров', '+48 283 484 382', '30.08.1970']
31,['Ваня', 'Рибентроп', '+48 283 484 382', '19.03.1958']
32,['Вася', 'Рибентроп', '+48 234 542 656', '23.12.1996']
33,['Ваня', 'Рибентроп', '+48 234 542 656', '30.08.1970']
34,['Ваня', 'Сидоров', '+48 237 543 345', '30.08.1970']
35,['Саша', 'Рибентроп', '+48 234 542 656', '30.04.1987']
36,['Ваня', 'Рибентроп', '+48 323 543 593', '23.12.1996']
37,['Саша', 'Рибентроп', '+48 237 543 345', '23.12.1996']
